"scientific_name","genus","species","IUCN","population_trend"
"Accipiter badius","Accipiter","badius","LC","Stable"
"Accipiter erythropus","Accipiter","erythropus","LC","Decreasing"
"Accipiter melanoleucus","Accipiter","melanoleucus","LC","Decreasing"
"Accipiter ovampensis","Accipiter","ovampensis","LC","Increasing"
"Accipiter rufiventris","Accipiter","rufiventris","LC","Unknown"
"Accipiter toussenelii","Accipiter","toussenelii","LC","Decreasing"
"Acrocephalus rufescens","Acrocephalus","rufescens","LC","Stable"
"Acryllium vulturinum","Acryllium","vulturinum","LC","Stable"
"Afropavo congensis","Afropavo","congensis","NT","Decreasing"
"Afrotis afra","Afrotis","afra","VU","Decreasing"
"Afrotis afraoides","Afrotis","afraoides","LC","Stable"
"Agapornis lilianae","Agapornis","lilianae","NT","Decreasing"
"Agapornis nigrigenis","Agapornis","nigrigenis","VU","Decreasing"
"Agapornis personatus","Agapornis","personatus","LC","Stable"
"Agapornis pullarius","Agapornis","pullarius","LC","Decreasing"
"Agapornis roseicollis","Agapornis","roseicollis","LC","Decreasing"
"Agapornis swindernianus","Agapornis","swindernianus","LC","Decreasing"
"Alaemon alaudipes","Alaemon","alaudipes","LC","Decreasing"
"Alaudala somalica","Alaudala","somalica","LC","Decreasing"
"Alectoris philbyi","Alectoris","philbyi","LC","Stable"
"Alectroenas sganzini","Alectroenas","sganzini","NT","Decreasing"
"Alethe poliophrys","Alethe","poliophrys",NA,NA
"Amadina erythrocephala","Amadina","erythrocephala","LC","Stable"
"Amadina fasciata","Amadina","fasciata","LC","Stable"
"Amandava subflava","Amandava","subflava","LC","Stable"
"Amaurornis marginalis","Amaurornis","marginalis","LC","Unknown"
"Amblyospiza albifrons","Amblyospiza","albifrons","LC","Stable"
"Ammomanes cinctura","Ammomanes","cinctura","LC","Decreasing"
"Ammomanopsis grayi","Ammomanopsis","grayi","LC","Stable"
"Amphilais seebohmi","Amphilais","seebohmi",NA,NA
"Anabathmis newtonii","Anabathmis","newtonii","LC","Stable"
"Anabathmis reichenbachii","Anabathmis","reichenbachii","LC","Stable"
"Anaplectes rubriceps","Anaplectes","rubriceps","LC","Stable"
"Anas melleri","Anas","melleri","EN","Decreasing"
"Anastomus lamelligerus","Anastomus","lamelligerus","LC","Stable"
"Andropadus importunus","Andropadus","importunus","LC","Stable"
"Anthoscopus caroli","Anthoscopus","caroli","LC","Decreasing"
"Anthoscopus flavifrons","Anthoscopus","flavifrons","LC","Decreasing"
"Anthoscopus musculus","Anthoscopus","musculus","LC","Stable"
"Anthoscopus parvulus","Anthoscopus","parvulus","LC","Stable"
"Anthreptes aurantius","Anthreptes","aurantius","LC","Decreasing"
"Anthreptes longuemarei","Anthreptes","longuemarei","LC","Stable"
"Anthreptes neglectus","Anthreptes","neglectus","LC","Decreasing"
"Anthreptes orientalis","Anthreptes","orientalis","LC","Stable"
"Anthreptes pallidigaster","Anthreptes","pallidigaster",NA,NA
"Anthreptes rectirostris","Anthreptes","rectirostris","LC","Decreasing"
"Anthreptes reichenowi","Anthreptes","reichenowi","LC","Decreasing"
"Anthreptes seimundi","Anthreptes","seimundi","LC","Stable"
"Anthropoides paradiseus","Anthropoides","paradiseus","VU","Decreasing"
"Anthus brachyurus","Anthus","brachyurus","LC","Stable"
"Anthus cinnamomeus","Anthus","cinnamomeus","LC","Stable"
"Anthus crenatus","Anthus","crenatus","NT","Decreasing"
"Anthus pallidiventris","Anthus","pallidiventris","LC","Stable"
"Anthus similis","Anthus","similis","LC","Stable"
"Anthus sokokensis","Anthus","sokokensis","EN",NA
"Apalis alticola","Apalis","alticola","LC","Decreasing"
"Apalis argentea","Apalis","argentea","LC","Decreasing"
"Apalis chariessa","Apalis","chariessa","NT","Decreasing"
"Apalis chirindensis","Apalis","chirindensis","VU","Decreasing"
"Apalis cinerea","Apalis","cinerea","LC","Decreasing"
"Apalis jacksoni","Apalis","jacksoni","LC","Decreasing"
"Apalis karamojae","Apalis","karamojae","VU","Decreasing"
"Apalis melanocephala","Apalis","melanocephala","LC","Decreasing"
"Apalis nigriceps","Apalis","nigriceps","LC","Stable"
"Apalis rufogularis","Apalis","rufogularis","LC","Decreasing"
"Apalis sharpii","Apalis","sharpii","NT","Decreasing"
"Apaloderma narina","Apaloderma","narina","LC","Decreasing"
"Apaloderma vittatum","Apaloderma","vittatum","LC","Decreasing"
"Aplopelia larvata","Aplopelia","larvata","LC","Decreasing"
"Apus affinis","Apus","affinis","LC","Unknown"
"Apus niansae","Apus","niansae","LC","Stable"
"Aquila fasciata","Aquila","fasciata","LC","Stable"
"Aquila heliaca","Aquila","heliaca","VU","Decreasing"
"Aquila rapax","Aquila","rapax","VU","Decreasing"
"Aquila verreauxii","Aquila","verreauxii","LC","Stable"
"Arcanator orostruthus","Arcanator","orostruthus","NT","Decreasing"
"Ardea humbloti","Ardea","humbloti","EN","Decreasing"
"Ardeola rufiventris","Ardeola","rufiventris","LC","Increasing"
"Ardeotis kori","Ardeotis","kori","NT","Decreasing"
"Arizelocichla chlorigula","Arizelocichla","chlorigula","LC","Decreasing"
"Arizelocichla milanjensis","Arizelocichla","milanjensis","NT","Decreasing"
"Arizelocichla montana","Arizelocichla","montana","LC","Decreasing"
"Artisornis metopias","Artisornis","metopias","LC","Decreasing"
"Artisornis moreaui","Artisornis","moreaui","EN","Decreasing"
"Asio abyssinicus","Asio","abyssinicus","LC","Stable"
"Asio madagascariensis","Asio","madagascariensis","LC","Decreasing"
"Atelornis crossleyi","Atelornis","crossleyi","NT","Decreasing"
"Atelornis pittoides","Atelornis","pittoides","LC","Decreasing"
"Atimastillas flavicollis","Atimastillas","flavicollis","LC","Stable"
"Aviceda madagascariensis","Aviceda","madagascariensis","LC","Decreasing"
"Baeopogon clamans","Baeopogon","clamans","LC","Decreasing"
"Balearica pavonina","Balearica","pavonina","VU","Decreasing"
"Balearica regulorum","Balearica","regulorum","EN","Decreasing"
"Bathmocercus cerviniventris","Bathmocercus","cerviniventris","DD","Decreasing"
"Bathmocercus rufus","Bathmocercus","rufus","LC","Decreasing"
"Batis crypta","Batis","crypta","LC","Decreasing"
"Batis diops","Batis","diops","LC","Decreasing"
"Batis ituriensis","Batis","ituriensis","LC","Decreasing"
"Batis minor","Batis","minor","LC","Unknown"
"Batis mixta","Batis","mixta","LC","Decreasing"
"Batis occulta","Batis","occulta","LC","Decreasing"
"Batis orientalis","Batis","orientalis","LC","Stable"
"Batis perkeo","Batis","perkeo","LC","Stable"
"Batis poensis","Batis","poensis","LC","Stable"
"Batis senegalensis","Batis","senegalensis","LC","Decreasing"
"Batis soror","Batis","soror","LC","Stable"
"Bernieria madagascariensis","Bernieria","madagascariensis","NT","Decreasing"
"Bias musicus","Bias","musicus","LC","Decreasing"
"Bleda canicapillus","Bleda","canicapillus","LC",NA
"Bleda eximia","Bleda","eximia",NA,NA
"Bleda notatus","Bleda","notatus","LC","Decreasing"
"Bleda syndactylus","Bleda","syndactylus","LC","Decreasing"
"Bostrychia hagedash","Bostrychia","hagedash","LC","Unknown"
"Bostrychia olivacea","Bostrychia","olivacea","LC","Decreasing"
"Bradornis fuliginosus","Bradornis","fuliginosus",NA,NA
"Bradornis ussheri","Bradornis","ussheri",NA,NA
"Bradypterus baboecala","Bradypterus","baboecala","LC","Stable"
"Bradypterus bangwaensis","Bradypterus","bangwaensis","LC","Stable"
"Bradypterus brunneus","Bradypterus","brunneus","LC","Decreasing"
"Bradypterus graueri","Bradypterus","graueri","VU","Decreasing"
"Bubalornis albirostris","Bubalornis","albirostris","LC","Stable"
"Bubalornis niger","Bubalornis","niger","LC","Stable"
"Bubo africanus","Bubo","africanus","LC","Stable"
"Bubo poensis","Bubo","poensis","LC","Decreasing"
"Bubo vosseleri","Bubo","vosseleri",NA,NA
"Bucorvus leadbeateri","Bucorvus","leadbeateri","VU","Decreasing"
"Bugeranus carunculatus","Bugeranus","carunculatus","VU","Decreasing"
"Burhinus senegalensis","Burhinus","senegalensis","LC","Unknown"
"Buteo augur","Buteo","augur","LC","Decreasing"
"Buteo auguralis","Buteo","auguralis","LC","Stable"
"Buteo brachypterus","Buteo","brachypterus","LC","Stable"
"Buteo oreophilus","Buteo","oreophilus","NT","Decreasing"
"Bycanistes brevis","Bycanistes","brevis","LC","Decreasing"
"Bycanistes bucinator","Bycanistes","bucinator","LC","Decreasing"
"Bycanistes fistulator","Bycanistes","fistulator","LC","Decreasing"
"Bycanistes subcylindricus","Bycanistes","subcylindricus","LC","Decreasing"
"Calamonastes fasciolatus","Calamonastes","fasciolatus","LC","Stable"
"Calamonastes undosus","Calamonastes","undosus","LC","Stable"
"Calamonastides gracilirostris","Calamonastides","gracilirostris","VU","Decreasing"
"Calandrella blanfordi","Calandrella","blanfordi","LC","Unknown"
"Calendulauda africanoides","Calendulauda","africanoides","LC","Stable"
"Calendulauda albescens","Calendulauda","albescens","LC","Decreasing"
"Calendulauda alopex","Calendulauda","alopex",NA,NA
"Calendulauda erythrochlamys","Calendulauda","erythrochlamys","LC","Stable"
"Calendulauda poecilosterna","Calendulauda","poecilosterna","LC","Decreasing"
"Calicalicus madagascariensis","Calicalicus","madagascariensis","LC","Decreasing"
"Calicalicus rufocarpalis","Calicalicus","rufocarpalis","VU","Decreasing"
"Camaroptera chloronota","Camaroptera","chloronota","LC","Decreasing"
"Campephaga flava","Campephaga","flava","LC","Stable"
"Campephaga petiti","Campephaga","petiti","LC","Decreasing"
"Campephaga quiscalina","Campephaga","quiscalina","LC","Decreasing"
"Campethera bennettii","Campethera","bennettii","LC","Stable"
"Campethera cailliautii","Campethera","cailliautii","LC","Stable"
"Campethera caroli","Campethera","caroli",NA,NA
"Campethera maculosa","Campethera","maculosa","LC","Increasing"
"Campethera mombassica","Campethera","mombassica","LC","Decreasing"
"Campethera notata","Campethera","notata","NT","Stable"
"Campethera punctuligera","Campethera","punctuligera","LC","Stable"
"Canirallus kioloides","Canirallus","kioloides",NA,NA
"Canirallus oculeus","Canirallus","oculeus","LC","Decreasing"
"Caprimulgus batesi","Caprimulgus","batesi","LC","Decreasing"
"Caprimulgus clarus","Caprimulgus","clarus","LC","Stable"
"Caprimulgus climacurus","Caprimulgus","climacurus",NA,NA
"Caprimulgus donaldsoni","Caprimulgus","donaldsoni","LC","Stable"
"Caprimulgus enarratus","Caprimulgus","enarratus",NA,NA
"Caprimulgus fossii","Caprimulgus","fossii","LC","Stable"
"Caprimulgus fraenatus","Caprimulgus","fraenatus","LC","Stable"
"Caprimulgus poliocephalus","Caprimulgus","poliocephalus","LC","Decreasing"
"Caprimulgus tristigma","Caprimulgus","tristigma","LC","Stable"
"Cecropis daurica","Cecropis","daurica","LC","Increasing"
"Cecropis semirufa","Cecropis","semirufa","LC","Increasing"
"Centropus anselli","Centropus","anselli","LC","Stable"
"Centropus grillii","Centropus","grillii","LC","Stable"
"Centropus leucogaster","Centropus","leucogaster","LC","Decreasing"
"Centropus monachus","Centropus","monachus","LC","Decreasing"
"Centropus toulou","Centropus","toulou","LC","Decreasing"
"Ceratogymna atrata","Ceratogymna","atrata","NT","Decreasing"
"Ceratogymna elata","Ceratogymna","elata","VU","Decreasing"
"Cercococcyx montanus","Cercococcyx","montanus","LC","Decreasing"
"Cercotrichas hartlaubi","Cercotrichas","hartlaubi","LC","Stable"
"Cercotrichas paena","Cercotrichas","paena","LC","Stable"
"Cercotrichas podobe","Cercotrichas","podobe","LC","Stable"
"Certhilauda chuana","Certhilauda","chuana","LC","Decreasing"
"Certhilauda subcoronata","Certhilauda","subcoronata","LC","Stable"
"Ceuthmochares aereus","Ceuthmochares","aereus","LC","Decreasing"
"Chalcomitra amethystina","Chalcomitra","amethystina","LC","Stable"
"Chalcomitra fuliginosa","Chalcomitra","fuliginosa","LC","Stable"
"Chalcomitra senegalensis","Chalcomitra","senegalensis","LC","Stable"
"Chelictinia riocourii","Chelictinia","riocourii","VU","Decreasing"
"Chlorocichla flaviventris","Chlorocichla","flaviventris","LC","Stable"
"Chlorocichla laetissima","Chlorocichla","laetissima","LC","Decreasing"
"Chlorocichla simplex","Chlorocichla","simplex","LC","Stable"
"Chlorophoneus multicolor","Chlorophoneus","multicolor","LC","Decreasing"
"Chlorophoneus olivaceus","Chlorophoneus","olivaceus","LC","Decreasing"
"Chrysococcyx cupreus","Chrysococcyx","cupreus","LC","Decreasing"
"Chrysococcyx flavigularis","Chrysococcyx","flavigularis","LC","Decreasing"
"Chrysococcyx klaas","Chrysococcyx","klaas","LC","Decreasing"
"Cinnyricinclus femoralis","Cinnyricinclus","femoralis",NA,NA
"Cinnyris afer","Cinnyris","afer","LC","Stable"
"Cinnyris bifasciatus","Cinnyris","bifasciatus","LC","Stable"
"Cinnyris chalybeus","Cinnyris","chalybeus","LC","Stable"
"Cinnyris coccinigastrus","Cinnyris","coccinigastrus","LC","Stable"
"Cinnyris cupreus","Cinnyris","cupreus","LC","Stable"
"Cinnyris habessinicus","Cinnyris","habessinicus","LC","Stable"
"Cinnyris johannae","Cinnyris","johannae","LC","Decreasing"
"Cinnyris ludovicensis","Cinnyris","ludovicensis","LC","Stable"
"Cinnyris manoensis","Cinnyris","manoensis","LC","Stable"
