BINOMIAL,AOH_name,is.migratory,excluded,Order_,F2019_Iucn_Red_List_Category,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Prinia khasiana,Prinia_khasiana,no,no,PASSERIFORMES,LC,0.65542638116119,0,0,No
Psalidoprocne pristoptera,Psalidoprocne_pristoptera,no,no,PASSERIFORMES,LC,0.906759062935347,0.696,125,Yes
Rhipidura albogularis,Rhipidura_albogularis,no,no,PASSERIFORMES,LC,0.908805948210725,0.996825396825397,315,Yes
Rhynchocyclus aequinoctialis,Rhynchocyclus_aequinoctialis,no,no,PASSERIFORMES,LC,0.846334596347209,0,0,No
Myrmelastes leucostigma,Myrmelastes_leucostigma,no,no,PASSERIFORMES,LC,0.948783562186364,1,16,Yes
Serpophaga griseicapilla,Serpophaga_griseicapilla,yes,no,PASSERIFORMES,LC,0.743236968434344,0.988372093023256,86,Yes
Sirystes albogriseus,Sirystes_albogriseus,no,no,PASSERIFORMES,LC,0.78687609234647,0,0,No
Stelgidopteryx ridgwayi,Stelgidopteryx_ridgwayi,no,no,PASSERIFORMES,LC,0.973976769583913,0,0,No
Tachycineta meyeni,Tachycineta_meyeni,yes,no,PASSERIFORMES,LC,0.255119845869905,0,0,No
Terenura sicki,Terenura_sicki,no,no,PASSERIFORMES,CR,0.116740352762764,0,0,No
Xiphorhynchus ocellatus,Xiphorhynchus_ocellatus,no,no,PASSERIFORMES,LC,0.953162650718436,0,0,No
Xolmis dominicanus,Xolmis_dominicanus,no,no,PASSERIFORMES,VU,0.500380461793457,0.576923076923077,26,Yes
Myiagra cyanoleuca,Myiagra_cyanoleuca,yes,no,PASSERIFORMES,LC,0.675324622863233,1,39,Yes
Apalis binotata,Apalis_binotata,no,no,PASSERIFORMES,LC,0.743546018063794,0,0,No
Apalis thoracica,Apalis_thoracica,no,no,PASSERIFORMES,LC,0.488816913241014,1,87,Yes
Campephaga quiscalina,Campephaga_quiscalina,no,no,PASSERIFORMES,LC,0.205447749524438,0,0,No
Corvus frugilegus,Corvus_frugilegus,yes,no,PASSERIFORMES,LC,0.605669505551162,0.947091932457786,2665,Yes
Corvus ruficollis,Corvus_ruficollis,no,no,PASSERIFORMES,LC,0.876905668388108,0.909952606635071,211,Yes
Crateroscelis robusta,Crateroscelis_robusta,no,no,PASSERIFORMES,LC,0.85913535300256,0,0,No
Dicrurus densus,Dicrurus_densus,no,no,PASSERIFORMES,LC,0.861217772011402,0,0,No
Hirundo lucida,Hirundo_lucida,no,no,PASSERIFORMES,LC,0.0714415702988442,0.0454545454545455,44,Yes
Microptilotis montanus,Microptilotis_montanus,no,no,PASSERIFORMES,LC,0.661998671631375,0,0,No
Poodytes gramineus,Poodytes_gramineus,no,no,PASSERIFORMES,LC,0.530064183317012,0.95,140,Yes
Carterornis chrysomela,Carterornis_chrysomela,no,no,PASSERIFORMES,LC,0.949604447336818,0,0,No
